"","iso2c","SI.POV.GINI","SI.POV.UMIC","SP.DYN.LE00.IN","SL.GDP.PCAP.EM.KD","NV.AGR.TOTL.ZS","NV.IND.TOTL.ZS","NV.IND.MANF.ZS","NV.SRV.TOTL.ZS"
"1","AE",32.5,0,75.0662068965517,140478.785916175,1.3288743493046,8.82591784050663,49.9996241534038,48.6714924405859
"2","AL",31.4111111111111,37.5111111111111,74.9603448275862,22805.2198973557,21.3266669206009,5.01479183673581,21.9701914374608,44.711782827995
"3","AM",32.3684210526316,55.6947368421053,71.8079655172414,19824.963667564,16.1197503197725,10.2383746668803,25.7432498260931,49.3250391212463
"4","AO",48.6666666666667,84.2333333333333,51.0494827586207,15917.6471072243,7.09210513782584,4.4658261208922,55.8496358070783,37.4268102229056
"5","AR",46.5074074074074,21.5740740740741,74.207275862069,51306.4461883183,6.35754570602402,17.3210405591302,26.7732583638801,56.2583954580379
"6","AT",30.2842105263158,0.778947368421053,78.9841042893188,102235.85379463,1.63203342968925,17.4719632460427,27.2004032702111,60.328492925576
"7","AU",33.8857142857143,1.08571428571429,80.1788730025231,85666.6113196157,2.83539437588909,9.83032747356738,25.3729404616734,64.2736335927557
"8","AZ",29.4166666666667,28,68.5213103448276,20030.1193876267,13.5669166143616,8.03233957137673,47.0437156919005,33.0801914438907
"9","BA",32.525,4.775,74.4847931034483,33211.8122714706,10.2603620562659,10.834082001913,22.6772442457877,52.117475443365
"10","BD",31.9333333333333,90.35,66.6067931034483,7015.40867993693,20.2655333089857,15.4994412467588,24.1489938969697,50.9692652969349
"11","BE",28.3157894736842,0.468421052631579,78.8037678721615,112506.008720959,0.89425989311389,14.9089988849345,22.1679457905156,66.3296628661411
"12","BF",43.28,94.62,53.8324137931034,4116.79392455539,26.5081741871419,13.146539047668,22.2841884247725,43.7381394213049
"13","BI",36.9,98.05,53.0110689655172,2064.4392189299,40.1765661005659,9.99169786815995,15.3869307497644,35.5041102652166
"14","BJ",43.2666666666667,91.2666666666667,57.374275862069,6664.74810845479,28.6895205615117,11.1064596887646,16.6725288704249,45.925389077114
"15","BO",51.7,41.36,64.4025172413793,14087.4986960504,12.3894496883338,12.8896369532166,27.6272026981006,47.0689965286811
"16","BR",56.02,35.268,71.3937931034483,30349.5782039127,5.09571745740419,13.7622549189131,23.8260897817291,57.0151938406546
"17","BT",38.8,54.45,63.4484137931035,14406.5545102719,22.0685926941689,8.44973583189152,37.0066699461613,37.1284876626772
"18","BW",59.825,63.725,57.551724137931,40281.64606637,2.87870234371444,5.50436836023327,39.7297094231843,47.7743188704265
"19","BY",28.0809523809524,20.5952380952381,70.2468460891505,26582.6931901027,11.1100892604377,26.7666151408714,35.5611521708855,41.2685001356725
"20","BZ",57.7333333333333,53.9666666666667,71.0288275862069,19164.4278026472,13.3476851091251,9.48402799148792,17.0477880563153,59.0505774929862
"21","CA",32.86,0.68,79.880740117746,83057.0027910812,1.72721043422635,12.9798219839167,27.6327380110357,63.8254509956144
"22","CD",42.15,98.8,53.5615172413793,2675.41894300831,28.5096068764043,14.6745918880499,32.4198041293365,35.2997708724236
"23","CF",53.7,94.8666666666667,47.1842068965517,2664.75619452194,34.2025595208006,19.4761496938495,23.0096177151355,37.2677197107678
"24","CG",48.1,86.5,56.7374827586207,14171.4779225752,7.17365744784057,6.71290063393602,54.1691816848201,37.0243687596927
"25","CH",32.8533333333333,0.206666666666667,80.7624390243903,111312.300920565,1.05825381179039,18.9897758594234,26.7481456139518,68.8247724680145
"26","CI",40.8333333333333,81.4333333333333,52.3817586206896,12189.1563824476,24.2819233654503,14.3504179429827,22.6649787898043,50.6032111956331
"27","CL",50.6153846153846,23.2769230769231,77.1790689655172,43618.1724603019,4.99207080041025,14.5129430993032,33.8155902190246,52.9871140273665
"28","CM",43.975,80.625,53.7565172413793,7170.59014960736,16.2627661931435,15.6339697819142,27.2253671599034,49.5255015244622
"29","CN",39.7153846153846,60.9857142857143,72.6750344827586,12503.0553504803,13.4527012651615,30.5644183969028,44.5142568889445,42.0330418459229
"30","CO",53.95,42.53,73.7328965517241,26017.9675418235,9.46633156912257,14.2301346721129,29.4683692685395,54.466712163862
"31","CR",48.0137931034483,23.2827586206897,77.9324482758621,34525.3014235636,8.6799411956447,16.2204097251025,23.7997143247067,59.0508656292656
"32","CV",47.3666666666667,52.8,69.3009310344827,14121.0225922686,9.85544774242023,8.20093944547173,21.6824294922953,62.7579221415203
"33","CY",32.55,0.121428571428571,78.6075862068965,54320.0216611345,3.30802363876328,7.54666820734435,17.2446523917777,70.4766161679678
"34","CZ",25.9444444444444,0.577777777777778,75.7434482758621,62692.6120368223,2.65323098335287,22.4918567713842,33.7078947795868,54.1679987685392
"35","DE",30.3526315789474,0.236842105263158,78.5743801513877,96980.3967662427,0.882431239210229,20.4243479767619,27.8361859228258,61.5396052224722
"36","DJ",42.7,72.375,59.278,12530.2253451827,1.27177567877828,2.76541303786723,12.9477018970978,78.8678291790759
